"","plot_year","spp","cover"
"265","BOB013_2021","AMSMEN",0.34
"266","BOB013_2021","CALBRE",0.04
"267","BOB013_2021","CHLPOM",2.36
"268","BOB013_2021","CLAUNG",0.2
"269","BOB013_2021","COLGRA",0.08
"270","BOB013_2021","CYNGRA",0
"271","BOB013_2021","DAUPUS",0.06
"272","BOB013_2021","DIPCAP",0.04
"273","BOB013_2021","ESCCAE",0.02
"274","BOB013_2021","GALPOR",0.02
"275","BOB013_2021","LEPCAL",5.2
"276","BOB013_2021","MADGRA",0.02
"277","BOB013_2021","MARFAB",1
"278","BOB013_2021","MARWAT",0.06
"279","BOB013_2021","MICCAL",0.16
"280","BOB013_2021","PENTRI",0.2
"281","BOB013_2021","PLECTRITIS",0.56
"282","BOB013_2021","RANHEB",0.14
"283","BOB013_2021","RIBMAL",0.4
"284","BOB013_2021","STILEP",5
"285","BOB013_2021","THYCUR",0.04
"286","BOB013_2021","TOXDIV",4.3
"287","BOB013_2021","TRIBIF",0.62
"288","BOB013_2021","TRIMIC",0.56
"289","BOB013_2021","YABMIC",0.12
"290","BOB013_2022","ACMWRA",0.66
"291","BOB013_2022","AMSMEN",2.6
"292","BOB013_2022","CHLPOM",0.2
"293","BOB013_2022","CLAPUR",0.06
"294","BOB013_2022","DAUPUS",0.1
"295","BOB013_2022","DIPCAP",0.04
"296","BOB013_2022","ESCCAE",0.6
"297","BOB013_2022","LEPBIC",1
"298","BOB013_2022","LEPCAL",3.8
"299","BOB013_2022","LUPNAN",0.6
"300","BOB013_2022","LUPSUC",6
"301","BOB013_2022","MADGRA",0.04
"302","BOB013_2022","MARFAB",4
"303","BOB013_2022","MARWAT",0.04
"304","BOB013_2022","MELICA",1
"305","BOB013_2022","PENTRI",0.04
"306","BOB013_2022","PLECTRITIS",0.6
"307","BOB013_2022","RANHEB",0.8
"308","BOB013_2022","STILEP",3.2
"309","BOB013_2022","THYCUR",0.4
"310","BOB013_2022","TOXDIV",2.2
"311","BOB013_2022","TRIBIF",0.12
"312","BOB013_2022","TRIMIC",0.8
"313","BOB014_2021","ACMGLA",0.06
"314","BOB014_2021","ANTVEX",0.04
"315","BOB014_2021","APIANG",0.7
"316","BOB014_2021","CEACUN",0.06
"317","BOB014_2021","CHLPOM",11.22
"318","BOB014_2021","CLELAS",1.2
"319","BOB014_2021","DICVOL",0.7
"320","BOB014_2021","EMMPEN",0.36
"321","BOB014_2021","ERICAL",0.08
"322","BOB014_2021","HEAR",2
"323","BOB014_2021","LEPCAL",1.8
"324","BOB014_2021","LUPSUC",0.12
"325","BOB014_2021","MARWAT",2
"326","BOB014_2021","QUEBER",2.6
"327","BOB014_2021","RANHEB",0.54
"328","BOB014_2021","TOXDIV",6
"329","BOB014_2021","TOXFRE",0.74
"330","BOB014_2021","TRILAX",0.44
"331","BOB014_2022","ADFA",1.1
"332","BOB014_2022","ANTVEX",0.04
"333","BOB014_2022","APIANG",0.06
"334","BOB014_2022","CHLPOM",0.62
"335","BOB014_2022","CLAPUR",0.04
"336","BOB014_2022","CLELAS",1.2
"337","BOB014_2022","DAUPUS",0.01
"338","BOB014_2022","DICVOL",0.02
"339","BOB014_2022","EMMPEN",1
"340","BOB014_2022","ERICAL",0.6
"341","BOB014_2022","HEAR",4
"342","BOB014_2022","LEPCAL",12.4
"343","BOB014_2022","LUPSUC",0.2
"344","BOB014_2022","MARWAT",2.2
"345","BOB014_2022","QUEBER",7
"346","BOB014_2022","RAFCAL",1.08
"347","BOB014_2022","RANHEB",0.04
"348","BOB014_2022","TOXDIV",3
"349","BOB014_2022","TOXFRE",0.12
"350","BOB014_2022","UROLIN",0.04
"351","BOB015_2021","ACMWRA",0.12
"352","BOB015_2021","ADFA",2.6
"353","BOB015_2021","CYNGRA",4.4
