"","PlotID","year","spp","seed.resprout","density","density_250m"
"42","BOB014","2021","LEPCAL","SEEDLING",0.6,150
"43","BOB014","2022","ADFA","RESPROUT",0.4,100
"44","BOB014","2022","ERICAL","SEEDLING",0.2,50
"45","BOB014","2022","HEAR","RESPROUT",0.6,150
"46","BOB014","2022","LEPCAL","RESPROUT",1,250
"47","BOB014","2022","LEPCAL","SEEDLING",0.2,50
"48","BOB014","2022","QUBE","RESPROUT",0.4,100
"49","BOB014","2022","TOXDIV","RESPROUT",0.6,150
"50","BOB015","2022","ADFA","RESPROUT",0.2,50
"51","BOB015","2022","ERICAL","RESPROUT",0,0
"52","BOB015","2022","ERICAL","SEEDLING",0.4,100
"53","BOB015","2022","HEAR","RESPROUT",0.2,50
"54","BOB015","2022","LEPCAL","RESPROUT",5.6,1400
"55","BOB015","2022","LEPCAL","SEEDLING",0.2,50
"56","BOB016","2021","ERICAL","SEEDLING",0.2,50
"57","BOB016","2022","ADFA","RESPROUT",0.2,50
"58","BOB016","2022","ERICAL","RESPROUT",0.4,100
"59","BOB016","2022","ERICAL","SEEDLING",0.4,100
"60","BOB016","2022","LEPCAL","RESPROUT",2.4,600
"61","BOB017","2021","ERICAL","SEEDLING",0.2,50
"62","BOB017","2022","ADFA","RESPROUT",0.2,50
"63","BOB017","2022","ERICAL","RESPROUT",0.4,100
"64","BOB017","2022","ERICAL","SEEDLING",18.6,4650
"65","BOB018","2021","ACMGLA","SEEDLING",0.8,200
"66","BOB018","2022","ADFA","RESPROUT",0.6,150
"67","BOB018","2022","ADFA","SEEDLING",0.2,50
"68","BOB018","2022","ERICAL","RESPROUT",0.2,50
"69","BOB018","2022","ERICAL","SEEDLING",7.4,1850
"70","BOB019","2022","LEPCAL","RESPROUT",0.4,100
"71","BOB019","2022","LEPCAL","SEEDLING",8.6,2150
"72","CCC001","2021","CEAOLI","SEEDLING",5,1250
"73","CCC001","2021","ERICAL","SEEDLING",0.2,50
"74","CCC001","2021","QUWI","SEEDLING",0.4,100
"75","CCC001","2022","QUWI","RESPROUT",0.4,100
"76","CCC001","2022","QUWI","SEEDLING",0.4,100
"77","CCC002","2021","ARCMAN","SEEDLING",0.4,100
"78","CCC002","2021","ERICAL","SEEDLING",0.2,50
"79","CCC002","2021","QUWI","SEEDLING",0.2,50
"80","CCC002","2022","HOLDIS","SEEDLING",0.6,150
"81","CCC002","2022","QUWI","RESPROUT",0.6,150
"82","CCC002","2022","QUWI","SEEDLING",0.2,50
"83","CCC003","2021","ADFA","SEEDLING",0.4,100
"84","CCC003","2021","CEACUN","SEEDLING",3.2,800
"85","CCC003","2021","ERICAL","SEEDLING",0.2,50
"86","CCC003","2022","ACMGLA","SEEDLING",2.2,550
"87","CCC003","2022","ADFA","RESPROUT",0.4,100
"88","CCC003","2022","ADFA","SEEDLING",5.2,1300
"89","CCC003","2022","CEACUN","SEEDLING",5,1250
"90","CCC003","2022","ERICAL","SEEDLING",4.6,1150
"91","CCC004","2021","CEAOLI","SEEDLING",14.8,3700
"92","CCC004","2021","ERICAL","SEEDLING",1.2,300
