"","PlotID","year","spp","seed.resprout","density","density_ha"
"190","QUA004","2022","ADFA","RESPROUT",0.2,2000
"191","QUA004","2022","ADFA","SEEDLING",0.4,4000
"192","QUA004","2022","CEACUN","SEEDLING",0.2,2000
"193","QUA005","2021","ADFA","RESPROUT",0.2,2000
"194","QUA005","2021","ADFA","SEEDLING",1.6,16000
"195","QUA005","2021","ERICAL","SEEDLING",0.8,8000
"196","QUA005","2022","ACMGLA","SEEDLING",0.8,8000
"197","QUA005","2022","ADFA","RESPROUT",0.2,2000
"198","QUA005","2022","ERICAL","SEEDLING",1.4,14000
"199","QUA006","2021","ADFA","SEEDLING",1.2,12000
"200","QUA006","2022","ADFA","RESPROUT",0.2,2000
"201","QUA006","2022","ADFA","SEEDLING",0.2,2000
"202","QUA006","2022","LEPCAL","SEEDLING",1.2,12000
"203","QUA006","2022","TOXDIV","RESPROUT",0.6,6000
"204","QUA008","2021","ADFA","SEEDLING",1,10000
"205","QUA008","2022","ACMGLA","SEEDLING",2.6,26000
"206","QUA008","2022","ADFA","RESPROUT",0,0
"207","QUA008","2022","ADFA","SEEDLING",2,20000
"208","QUA009","2021","ADFA","SEEDLING",1.4,14000
"209","QUA009","2022","ACMGLA","SEEDLING",2.8,28000
"210","QUA009","2022","ADFA","RESPROUT",0.6,6000
"211","QUA009","2022","ADFA","SEEDLING",3.6,36000
"212","QUA010","2021","ADFA","SEEDLING",3.6,36000
"213","QUA010","2022","ACMGLA","SEEDLING",5.8,58000
"214","QUA010","2022","ADFA","RESPROUT",0.2,2000
"215","QUA010","2022","ADFA","SEEDLING",0.4,4000
"216","QUA011","2021","ADFA","SEEDLING",0.8,8000
"217","QUA011","2022","ACMGLA","SEEDLING",0.8,8000
"218","QUA011","2022","ADFA","RESPROUT",0.4,4000
"219","QUA011","2022","ADFA","SEEDLING",6,60000
"220","QUA015","2021","ADFA","RESPROUT",0.2,2000
"221","QUA015","2021","ADFA","SEEDLING",3.4,34000
"222","QUA015","2021","CEACUN","SEEDLING",0.2,2000
"223","QUA015","2021","CEAOLI","SEEDLING",0.2,2000
"224","QUA015","2022","ACMGLA","SEEDLING",3.2,32000
"225","QUA015","2022","ADFA","SEEDLING",1.2,12000
"226","QUA015","2022","CEACUN","SEEDLING",0.8,8000
"227","QUA015","2022","ERICAL","RESPROUT",0.2,2000
"228","QUA015","2022","ERICAL","SEEDLING",1,10000
"229","QUA015","2022","MIMAUR","SEEDLING",0.2,2000
"230","QUA016","2021","ACMGLA","SEEDLING",0.2,2000
"231","QUA016","2021","ADFA","RESPROUT",0,0
"232","QUA016","2021","ADFA","SEEDLING",1,10000
"233","QUA016","2021","CEACUN","SEEDLING",1.2,12000
"234","QUA016","2021","LEPCAL","SEEDLING",0.8,8000
"235","QUA016","2022","CEAOLI","SEEDLING",1.8,18000
"236","QUA016","2022","LEPCAL","SEEDLING",0.4,4000
"237","QUA016","2022","MIMAUR","SEEDLING",0.4,4000
"238","QUA020","2021","ACMGLA","SEEDLING",0.6,6000
"239","QUA020","2021","ADFA","RESPROUT",0.4,4000
"240","QUA020","2021","ADFA","SEEDLING",6.4,64000
"241","QUA020","2021","CEACUN","SEEDLING",3.8,38000
"242","QUA020","2021","CERBET","SEEDLING",0.4,4000
"243","QUA020","2021","TOXDIV","SEEDLING",0.2,2000
"244","QUA020","2022","ACMGLA","SEEDLING",0.4,4000
"245","QUA020","2022","ADFA","RESPROUT",0.4,4000
"246","QUA020","2022","ADFA","SEEDLING",1.2,12000
"247","QUA020","2022","CEACUN","SEEDLING",0.6,6000
"248","QUA021","2021","ADFA","SEEDLING",0.6,6000
"249","QUA021","2021","CEACUN","SEEDLING",1.4,14000
"250","QUA021","2021","CEAOLI","SEEDLING",0.4,4000
"251","QUA021","2021","LEPCAL","SEEDLING",4.6,46000
"252","QUA021","2022","ADFA","SEEDLING",0.2,2000
"253","QUA021","2022","CEACUN","SEEDLING",0.4,4000
"254","QUA021","2022","LEPCAL","SEEDLING",3.6,36000
"255","QUA021","2022","QUWI","RESPROUT",0.2,2000
"256","QUA021","2022","TOXDIV","RESPROUT",1.2,12000
"257","QUA022","2021","ADFA","SEEDLING",0.2,2000
"258","QUA022","2021","CEACUN","SEEDLING",0.2,2000
"259","QUA022","2021","CEAOLI","SEEDLING",0.2,2000
"260","QUA022","2022","ADFA","RESPROUT",0.2,2000
"261","QUA022","2022","ADFA","SEEDLING",1.2,12000
"262","QUA024","2022","ACMGLA","SEEDLING",4.8,48000
"263","QUA024","2022","LEPCAL","SEEDLING",0.2,2000
"264","QUA025","2022","ACMGLA","SEEDLING",0.6,6000
"265","QUA025","2022","ADFA","SEEDLING",2.4,24000
"266","QUA025","2022","LEPCAL","SEEDLING",0.2,2000
"267","QUA025","2022","TOXDIV","RESPROUT",0.2,2000
