"","PlotID","year","quad","native.nonnative","shanDiv","X","Location","num_burn","cool.warm_slope","fire_preLNU_year","currentFRI","medianRefFRI","meanPFRID","meanCC_FRI","PFR","Mean_diam_cm","mean_diam_mm"
"60","BOB003","2022","Q5","NONNATIVE_shanDiv",1.58841627916368,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
"61","BOB004","2021","Q1","NATIVE_shanDiv",0.268231180694714,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"62","BOB004","2021","Q1","NONNATIVE_shanDiv",0.477816997513333,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"63","BOB004","2021","Q2","NATIVE_shanDiv",0.772906421791185,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"64","BOB004","2021","Q2","NONNATIVE_shanDiv",1.13018901601903,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"65","BOB004","2021","Q3","NATIVE_shanDiv",0.625354068106865,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"66","BOB004","2021","Q3","NONNATIVE_shanDiv",1.00423574575237,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"67","BOB004","2021","Q4","NATIVE_shanDiv",0.431276825819565,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"68","BOB004","2021","Q4","NONNATIVE_shanDiv",0.579818836294496,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"69","BOB004","2021","Q5","NATIVE_shanDiv",0.721408423272742,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"70","BOB004","2021","Q5","NONNATIVE_shanDiv",0.814913970554124,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"71","BOB004","2022","Q1","NATIVE_shanDiv",0.0139247403728565,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"72","BOB004","2022","Q1","NONNATIVE_shanDiv",1.02163458587622,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"73","BOB004","2022","Q2","NATIVE_shanDiv",0.518749861910459,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"74","BOB004","2022","Q2","NONNATIVE_shanDiv",0.356153993178404,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"75","BOB004","2022","Q3","NATIVE_shanDiv",0,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"76","BOB004","2022","Q3","NONNATIVE_shanDiv",0.306688107178175,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"77","BOB004","2022","Q4","NATIVE_shanDiv",0.0126745089113437,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"78","BOB004","2022","Q4","NONNATIVE_shanDiv",0.479843397463304,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"79","BOB004","2022","Q5","NATIVE_shanDiv",0.658791401824883,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"80","BOB004","2022","Q5","NONNATIVE_shanDiv",0.23808627008552,4,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.1975,1.975
"81","BOB005","2021","Q1","NATIVE_shanDiv",0.494917678512226,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"82","BOB005","2021","Q1","NONNATIVE_shanDiv",0.989220351491125,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"83","BOB005","2021","Q2","NATIVE_shanDiv",0.364126184486076,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"84","BOB005","2021","Q2","NONNATIVE_shanDiv",0.966494842689505,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"85","BOB005","2021","Q3","NATIVE_shanDiv",0.30563767384608,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"86","BOB005","2021","Q3","NONNATIVE_shanDiv",0.721127147513302,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"87","BOB005","2021","Q4","NATIVE_shanDiv",0.878498790652692,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
"88","BOB005","2021","Q4","NONNATIVE_shanDiv",0.935970254038204,5,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.21,2.1
