"","PlotID","year","spp","density","density_250m","num_burn","cool.warm_slope","Mean_diam_cm","mean_diam_mm","Lifeform","Native_nonnative","fac.obl"
"94","COL013","2021","ERICAL",0.8,200,3,"warm",0.34,3.4,"SH","native","FAC"
"95","COL013","2022","ACMGLA",0.4,100,3,"warm",0.34,3.4,"SH","native","OBL-S"
"96","COL013","2022","ERICAL",1.2,300,3,"warm",0.34,3.4,"SH","native","FAC"
"97","COL014","2021","ACMGLA",0.4,100,3,"cool",0.351515151545455,3.51515151545455,"SH","native","OBL-S"
"98","COL018","2021","ERICAL",0.8,200,3,"warm",NA,NA,"SH","native","FAC"
"99","COL018","2022","ERICAL",1.2,300,3,"warm",NA,NA,"SH","native","FAC"
"100","QUA001","2021","ADFA",0.4,100,2,"warm",NA,NA,"SH","native","FAC"
"101","QUA001","2021","LEPCAL",1,250,2,"warm",NA,NA,"SH","native","FAC"
"102","QUA002","2021","ERICAL",1,250,2,"warm",0.11,1.1,"SH","native","FAC"
"103","QUA002","2022","ACMGLA",1.4,350,2,"warm",0.11,1.1,"SH","native","OBL-S"
"104","QUA002","2022","ERICAL",0.4,100,2,"warm",0.11,1.1,"SH","native","FAC"
"105","QUA002","2022","LEPCAL",1.4,350,2,"warm",0.11,1.1,"SH","native","FAC"
"106","QUA003","2021","ADFA",0.4,100,2,"warm",NA,NA,"SH","native","FAC"
"107","QUA003","2022","ACMGLA",0.8,200,2,"warm",NA,NA,"SH","native","OBL-S"
"108","QUA004","2021","CEACUN",0.2,50,1,"warm",3.75888888893333,37.5888888893333,"SH","native","OBL-S"
"109","QUA004","2022","ACMGLA",0.2,50,1,"warm",3.75888888893333,37.5888888893333,"SH","native","OBL-S"
"110","QUA004","2022","ADFA",0.4,100,1,"warm",3.75888888893333,37.5888888893333,"SH","native","FAC"
"111","QUA004","2022","CEACUN",0.2,50,1,"warm",3.75888888893333,37.5888888893333,"SH","native","OBL-S"
"112","QUA005","2021","ADFA",1.6,400,1,"warm",1.02,10.2,"SH","native","FAC"
"113","QUA005","2021","ERICAL",0.8,200,1,"warm",1.02,10.2,"SH","native","FAC"
"114","QUA005","2022","ACMGLA",0.8,200,1,"warm",1.02,10.2,"SH","native","OBL-S"
"115","QUA005","2022","ERICAL",1.4,350,1,"warm",1.02,10.2,"SH","native","FAC"
"116","QUA006","2021","ADFA",1.2,300,1,"warm",1.305,13.05,"SH","native","FAC"
"117","QUA006","2022","ADFA",0.2,50,1,"warm",1.305,13.05,"SH","native","FAC"
"118","QUA006","2022","LEPCAL",1.2,300,1,"warm",1.305,13.05,"SH","native","FAC"
"119","QUA008","2021","ADFA",1,250,1,"warm",0.64125,6.4125,"SH","native","FAC"
"120","QUA008","2022","ACMGLA",2.6,650,1,"warm",0.64125,6.4125,"SH","native","OBL-S"
"121","QUA008","2022","ADFA",2,500,1,"warm",0.64125,6.4125,"SH","native","FAC"
"122","QUA009","2021","ADFA",1.4,350,1,"warm",0.46,4.6,"SH","native","FAC"
"123","QUA009","2022","ACMGLA",2.8,700,1,"warm",0.46,4.6,"SH","native","OBL-S"
"124","QUA009","2022","ADFA",3.6,900,1,"warm",0.46,4.6,"SH","native","FAC"
"125","QUA010","2021","ADFA",3.6,900,2,"cool",NA,NA,"SH","native","FAC"
"126","QUA010","2022","ACMGLA",5.8,1450,2,"cool",NA,NA,"SH","native","OBL-S"
"127","QUA010","2022","ADFA",0.4,100,2,"cool",NA,NA,"SH","native","FAC"
"128","QUA011","2021","ADFA",0.8,200,1,"warm",NA,NA,"SH","native","FAC"
"129","QUA011","2022","ACMGLA",0.8,200,1,"warm",NA,NA,"SH","native","OBL-S"
"130","QUA011","2022","ADFA",6,1500,1,"warm",NA,NA,"SH","native","FAC"
"131","QUA015","2021","ADFA",3.4,850,1,"cool",0.34,3.4,"SH","native","FAC"
"132","QUA015","2021","CEACUN",0.2,50,1,"cool",0.34,3.4,"SH","native","OBL-S"
"133","QUA015","2021","CEAOLI",0.2,50,1,"cool",0.34,3.4,"SH","native","OBL-S"
"134","QUA015","2022","ACMGLA",3.2,800,1,"cool",0.34,3.4,"SH","native","OBL-S"
"135","QUA015","2022","ADFA",1.2,300,1,"cool",0.34,3.4,"SH","native","FAC"
"136","QUA015","2022","CEACUN",0.8,200,1,"cool",0.34,3.4,"SH","native","OBL-S"
"137","QUA015","2022","ERICAL",1,250,1,"cool",0.34,3.4,"SH","native","FAC"
"138","QUA015","2022","MIMAUR",0.2,50,1,"cool",0.34,3.4,"SH","native","FAC"
"139","QUA016","2021","ACMGLA",0.2,50,1,"cool",0.543148148111111,5.43148148111111,"SH","native","OBL-S"
"140","QUA016","2021","ADFA",1,250,1,"cool",0.543148148111111,5.43148148111111,"SH","native","FAC"
"141","QUA016","2021","CEACUN",1.2,300,1,"cool",0.543148148111111,5.43148148111111,"SH","native","OBL-S"
"142","QUA016","2021","LEPCAL",0.8,200,1,"cool",0.543148148111111,5.43148148111111,"SH","native","FAC"
"143","QUA016","2022","CEAOLI",1.8,450,1,"cool",0.543148148111111,5.43148148111111,"SH","native","OBL-S"
"144","QUA016","2022","LEPCAL",0.4,100,1,"cool",0.543148148111111,5.43148148111111,"SH","native","FAC"
"145","QUA016","2022","MIMAUR",0.4,100,1,"cool",0.543148148111111,5.43148148111111,"SH","native","FAC"
"146","QUA020","2021","ACMGLA",0.6,150,1,"cool",0.28,2.8,"SH","native","OBL-S"
"147","QUA020","2021","ADFA",6.4,1600,1,"cool",0.28,2.8,"SH","native","FAC"
"148","QUA020","2021","CEACUN",3.8,950,1,"cool",0.28,2.8,"SH","native","OBL-S"
"149","QUA020","2021","CERBET",0.4,100,1,"cool",0.28,2.8,"SH","native","OBL-R"
"150","QUA020","2021","TOXDIV",0.2,50,1,"cool",0.28,2.8,"SH","native","OBL-R"
"151","QUA020","2022","ACMGLA",0.4,100,1,"cool",0.28,2.8,"SH","native","OBL-S"
"152","QUA020","2022","ADFA",1.2,300,1,"cool",0.28,2.8,"SH","native","FAC"
"153","QUA020","2022","CEACUN",0.6,150,1,"cool",0.28,2.8,"SH","native","OBL-S"
"154","QUA021","2021","ADFA",0.6,150,1,"cool",2.6578125,26.578125,"SH","native","FAC"
"155","QUA021","2021","CEACUN",1.4,350,1,"cool",2.6578125,26.578125,"SH","native","OBL-S"
"156","QUA021","2021","CEAOLI",0.4,100,1,"cool",2.6578125,26.578125,"SH","native","OBL-S"
"157","QUA021","2021","LEPCAL",4.6,1150,1,"cool",2.6578125,26.578125,"SH","native","FAC"
"158","QUA021","2022","ADFA",0.2,50,1,"cool",2.6578125,26.578125,"SH","native","FAC"
"159","QUA021","2022","CEACUN",0.4,100,1,"cool",2.6578125,26.578125,"SH","native","OBL-S"
"160","QUA021","2022","LEPCAL",3.6,900,1,"cool",2.6578125,26.578125,"SH","native","FAC"
"161","QUA022","2021","ADFA",0.2,50,1,"cool",0.7075,7.075,"SH","native","FAC"
"162","QUA022","2021","ADFA",0.2,50,1,"cool",0.7075,7.075,"SH","native","FAC"
"163","QUA022","2021","CEACUN",0.2,50,1,"cool",0.7075,7.075,"SH","native","OBL-S"
"164","QUA022","2021","CEACUN",0.2,50,1,"cool",0.7075,7.075,"SH","native","OBL-S"
"165","QUA022","2021","CEAOLI",0.2,50,1,"cool",0.7075,7.075,"SH","native","OBL-S"
"166","QUA022","2021","CEAOLI",0.2,50,1,"cool",0.7075,7.075,"SH","native","OBL-S"
"167","QUA022","2022","ADFA",1.2,300,1,"cool",0.7075,7.075,"SH","native","FAC"
"168","QUA022","2022","ADFA",1.2,300,1,"cool",0.7075,7.075,"SH","native","FAC"
"169","QUA024","2022","ACMGLA",4.8,1200,2,"cool",NA,NA,"SH","native","OBL-S"
"170","QUA024","2022","LEPCAL",0.2,50,2,"cool",NA,NA,"SH","native","FAC"
"171","QUA025","2022","ACMGLA",0.6,150,2,"cool",NA,NA,"SH","native","OBL-S"
"172","QUA025","2022","ADFA",2.4,600,2,"cool",NA,NA,"SH","native","FAC"
"173","QUA025","2022","LEPCAL",0.2,50,2,"cool",NA,NA,"SH","native","FAC"
