"","PlotID","year","spp","SEEDLING.RESPROUT","num_burn","cool.warm_slope","Lifeform","Native_nonnative","fac.obl","plotid_time","species_type","n_species","n_species_native.non","n_species_lifeform"
"69","BOB016",2022,"ACMGLA","",4,"cool","SH","native","OBL-S","BOB016 4 cool 2022","ACMGLA_",41,27,9
"70","BOB017",2021,"ACMGLA","SEEDLING",4,"warm","SH","native","OBL-S","BOB017 4 warm 2021","ACMGLA_SEEDLING",38,26,6
"71","BOB017",2022,"ACMGLA","SEEDLING",4,"warm","SH","native","OBL-S","BOB017 4 warm 2022","ACMGLA_SEEDLING",24,15,6
"72","BOB018",2021,"ACMGLA","SEEDLING",3,"warm","SH","native","OBL-S","BOB018 3 warm 2021","ACMGLA_SEEDLING",27,14,3
"73","BOB018",2022,"ACMGLA","SEEDLING",3,"warm","SH","native","OBL-S","BOB018 3 warm 2022","ACMGLA_SEEDLING",24,15,6
"74","BOB019",2021,"ACMGLA","SEEDLING",5,"cool","SH","native","OBL-S","BOB019 5 cool 2021","ACMGLA_SEEDLING",48,30,6
"75","CCC001",2021,"ACMGLA","SEEDLING",1,"cool","SH","native","OBL-S","CCC001 1 cool 2021","ACMGLA_SEEDLING",41,34,8
"76","CCC003",2021,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","CCC003 1 warm 2021","ACMGLA_SEEDLING",18,16,5
"77","CCC003",2022,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","CCC003 1 warm 2022","ACMGLA_SEEDLING",32,17,6
"78","CCC004",2021,"ACMGLA","SEEDLING",1,"cool","SH","native","OBL-S","CCC004 1 cool 2021","ACMGLA_SEEDLING",42,34,7
"79","CCC005",2021,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","CCC005 1 warm 2021","ACMGLA_SEEDLING",28,23,6
"80","CCC005",2022,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","CCC005 1 warm 2022","ACMGLA_SEEDLING",43,28,6
"81","CCC006",2021,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","CCC006 1 warm 2021","ACMGLA_SEEDLING",14,13,6
"82","CCC006",2022,"ACMGLA","SEEDLING",1,"warm","SH","native","OBL-S","CCC006 1 warm 2022","ACMGLA_SEEDLING",28,18,5
"83","CCC008",2021,"ACMGLA","SEEDLING",7,"warm","SH","native","OBL-S","CCC008 7 warm 2021","ACMGLA_SEEDLING",41,32,6
"84","CCC008",2022,"ACMGLA","SEEDLING",7,"warm","SH","native","OBL-S","CCC008 7 warm 2022","ACMGLA_SEEDLING",46,35,9
"85","CCC009",2021,"ACMGLA","SEEDLING",7,"warm","SH","native","OBL-S","CCC009 7 warm 2021","ACMGLA_SEEDLING",29,22,4
"86","CCC009",2022,"ACMGLA","SEEDLING",7,"warm","SH","native","OBL-S","CCC009 7 warm 2022","ACMGLA_SEEDLING",34,24,4
"87","CCC011",2021,"ACMGLA","SEEDLING",7,"cool","SH","native","OBL-S","CCC011 7 cool 2021","ACMGLA_SEEDLING",50,40,7
"88","CCC011",2022,"ACMGLA","SEEDLING",7,"cool","SH","native","OBL-S","CCC011 7 cool 2022","ACMGLA_SEEDLING",49,40,8
"89","COL007",2021,"ACMGLA","SEEDLING",3,"warm","SH","native","OBL-S","COL007 3 warm 2021","ACMGLA_SEEDLING",45,33,7
"90","COL012",2021,"ACMGLA","SEEDLING",3,"cool","SH","native","OBL-S","COL012 3 cool 2021","ACMGLA_SEEDLING",47,35,6
"91","COL012",2022,"ACMGLA","SEEDLING",3,"cool","SH","native","OBL-S","COL012 3 cool 2022","ACMGLA_SEEDLING",43,34,7
"92","COL013",2021,"ACMGLA","SEEDLING",3,"warm","SH","native","OBL-S","COL013 3 warm 2021","ACMGLA_SEEDLING",41,29,6
"93","COL013",2022,"ACMGLA","SEEDLING",3,"warm","SH","native","OBL-S","COL013 3 warm 2022","ACMGLA_SEEDLING",40,28,8
"94","COL014",2021,"ACMGLA","RESPROUT",3,"cool","SH","native","OBL-S","COL014 3 cool 2021","ACMGLA_RESPROUT",50,34,6
"95","COL014",2021,"ACMGLA","SEEDLING",3,"cool","SH","native","OBL-S","COL014 3 cool 2021","ACMGLA_SEEDLING",50,34,6
"96","COL014",2022,"ACMGLA","SEEDLING",3,"cool","SH","native","OBL-S","COL014 3 cool 2022","ACMGLA_SEEDLING",52,33,6
"97","COL017",2021,"ACMGLA","SEEDLING",3,"cool","SH","native","OBL-S","COL017 3 cool 2021","ACMGLA_SEEDLING",49,36,7
