"Site","PlotID","nm_prr_","Burned_","X_1","notes","fr_prLNU_n","fr_prLNU_y","crrnFRI","mdnRFRI","mnPFRID","mCC_FRI","PFR","NOTES_1","ppt","tmean","elevation","elev_units","elevation.1","slope","aspect","northsouth","eastwest","hli"
"QuailRidge","QUA003",2,"Yes","10S",NA,"pleasure",2005,38,59,-31.52,-1,"chaparral and serotinous conifer",NA,706.340026855469,16,387,"meters",387,27.5447484399307,189.015852343414,0.867673492902504,0.497134498616187,0.976095758973827
"QuailRidge","QUA004",1,"Yes","10S",NA,NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,713.006042480469,16.7000007629395,270,"meters",270,4.74689114638135,345.758378281574,0.983268241794487,0.18216356572701,0.714118031034737
"ColdCanyon","QUA005",1,"Yes","10S",NA,"resort",1988,28,59,-48.64,-2,"chaparral and serotinous conifer",NA,718.797058105469,16.3090000152588,338,"meters",338,14.2221078050089,214.34339201031,0.755033205648209,0.655686554970124,0.862710337100611
"QuailRidge","QUA006",1,"Yes","10S",NA,"resort",1988,28,59,-48.64,-2,"chaparral and serotinous conifer",NA,718.797058105469,16.3090000152588,364,"meters",364,25.8124494464966,169.045100734887,0.824825655689612,-0.565387157367588,0.93184316344845
"QuailRidge","QUA008",1,"Yes","10S",NA,NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,706.340026855469,16,377,"meters",377,18.4655622067483,171.200106908172,0.0166919372545326,0.999860679910302,0.897411227790044
"QuailRidge","QUA009",1,"Yes","10S",NA,NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,706.340026855469,16,407,"meters",407,30.6209094980152,186.939936207812,0.0151727370018507,-0.999884887400481,0.986667157270434
"QuailRidge","QUA010",2,"Yes","10S",NA,"pleasure",2005,38,59,-31.52,-1,"chaparral and serotinous conifer",NA,706.340026855469,16,380,"meters",380,27.5586195607381,224.809742302407,0.184799230922302,-0.982776294102847,0.899743840428734
"QuailRidge","QUA011",1,"Yes","10S",NA,NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,710.710021972656,16.1100006103516,368,"meters",368,13.6327794099502,210.36284062799,-0.99233826675526,0.123550654928117,0.86336581650252
"QuailRidge","QUA015",1,"Yes","10S",NA,NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,697.367004394531,16.5100002288818,354,"meters",354,16.0607980601578,263.579268941003,0.950946849633166,-0.309354310092419,0.896145464333399
"QuailRidge","QUA016",1,"Yes","10S",NA,NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,697.367004394531,16.5100002288818,345,"meters",345,15.5466182025687,218.634675195985,0.289769284746926,-0.95709652680242,0.865078739880088
"QuailRidge","QUA020",1,"Yes","10S","north slope",NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,699.738037109375,16.6900005340576,356,"meters",356,4.18403595506247,8.02878238402725,-0.173911927427883,0.984761210394844,0.693810328877816
"QuailRidge","QUA021",1,"Yes","10S","Yes north",NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,699.738037109375,16.6900005340576,348,"meters",348,7.98793748864402,30.6434839643163,0.716208169568407,-0.697886708458809,0.63008643666693
"QuailRidge","QUA022",1,"Yes","10S","Yes north","R.COOMBA",1961,38,59,-31.52,-1,"chaparral and serotinous conifer",NA,699.738037109375,16.6900005340576,341,"meters",341,16.6480392301192,277.734434511274,0.292189388117387,0.956360476740641,0.8859396407416
"QuailRidge","QUA023",2,"Yes","10S","Yes north","pleasure",2005,38,59,-31.52,-1,"chaparral and serotinous conifer",NA,701.057006835938,16.730001449585,319,"meters",319,5.63808702555586,191.945239814444,-0.952915117436393,-0.3032371661937,0.790384744801794
"QuailRidge","QUA024",2,"Yes","10S","Yes north",NA,NA,56,59,2.65,1,"chaparral and serotinous conifer",NA,706.340026855469,16,370,"meters",370,12.1829197537772,263.578523749249,0.950716057338032,-0.31006286188389,0.859665117105693
"QuailRidge","QUA025",2,"Yes","10S","North slope","pleasure",2005,38,59,-31.52,-1,"chaparral and serotinous conifer",NA,710.710021972656,16.1100006103516,348,"meters",348,24.3275404406626,276.131938088549,0.946619115116481,-0.322354232012069,0.938075339649581
