PlotID,spp,year,sum.count.5m2,presence
BOB010,ERINUD,2022,0,0
BOB010,HEAR,2021,0,0
BOB010,HEAR,2022,0,0
BOB010,HOLDIS,2021,0,0
BOB010,HOLDIS,2022,0,0
BOB010,LEPCAL,2021,0,0
BOB010,LEPCAL,2022,0,0
BOB010,MIMAUR,2021,0,0
BOB010,MIMAUR,2022,0,0
BOB010,QUEBER,2021,0,0
BOB010,QUEBER,2022,0,0
BOB010,RHAILI,2021,0,0
BOB010,RHAILI,2022,0,0
BOB010,RIBMAL,2021,0,0
BOB010,RIBMAL,2022,0,0
BOB010,SYMALB,2021,0,0
BOB010,SYMALB,2022,0,0
BOB010,SYMMOL,2021,0,0
BOB010,SYMMOL,2022,0,0
BOB010,TOXDIV,2021,0,0
BOB010,TOXDIV,2022,0,0
BOB011,ADFA,2021,0,0
BOB011,ADFA,2022,0,0
BOB011,ARCMAN,2021,0,0
BOB011,ARCMAN,2022,0,0
BOB011,CEACUN,2021,0,0
BOB011,CEACUN,2022,0,0
BOB011,CEAOLI,2021,0,0
BOB011,CEAOLI,2022,0,0
BOB011,CERBET,2021,0,0
BOB011,CERBET,2022,0,0
BOB011,ERICAL,2021,0,0
BOB011,ERICAL,2022,0,0
BOB011,ERINUD,2021,0,0
BOB011,ERINUD,2022,0,0
BOB011,HEAR,2021,0,0
BOB011,HEAR,2022,0,0
BOB011,HOLDIS,2021,0,0
BOB011,HOLDIS,2022,0,0
BOB011,LEPCAL,2021,0,0
BOB011,LEPCAL,2022,0,0
BOB011,MIMAUR,2021,0,0
BOB011,MIMAUR,2022,0,0
BOB011,QUEBER,2021,0,0
BOB011,QUEBER,2022,0,0
BOB011,RHAILI,2021,0,0
BOB011,RHAILI,2022,0,0
BOB011,RIBMAL,2021,0,0
BOB011,RIBMAL,2022,0,0
BOB011,SYMALB,2021,0,0
BOB011,SYMALB,2022,0,0
BOB011,SYMMOL,2021,0,0
BOB011,SYMMOL,2022,0,0
BOB011,TOXDIV,2021,0,0
BOB011,TOXDIV,2022,0,0
BOB016,ADFA,2021,0,0
BOB016,ADFA,2022,0,0
BOB016,ARCMAN,2021,0,0
BOB016,ARCMAN,2022,0,0
BOB016,CEACUN,2021,0,0
