id,old_id,code.x,area_cm2,fresh_wt_g,dry_wt_g,sla_cm2_g,lwc,code.y,Sample.number,Species.code,ecotype,X.N,X.C,C.N,NotesOnChanges,HtcmMn,HtcmSD,HtcmCV,ID.1,spines,ToughMn,ToughSD,ToughCV,WdDens10Mn,WdDens10SD,WdDens10CV
ancistrocarphus_filagineus_n,ancistrocarphus_filagineus_n,ancfil_n,1.081,0.0184,0.0039,277.1794872,0.788043478,ancfil_n,710,ANCFIL-N,N,1.45,35.26,24.31724138,,4.4,1.429840706,0.324963797,NA,NA,NA,NA,NA,NA,NA,NA
ancistrocarphus_filagineus_s,ancistrocarphus_filagineus_s,ancfil_s,4.063,0.0293,0.0235,172.893617,0.197952218,ancfil_s,711,ANCFIL-S,S,0.57,23.64,41.47368421,,2.4,0.966091783,0.402538243,NA,NA,NA,NA,NA,NA,NA,NA
anemone_deltoidea_n,anemone_deltoidea_n,anedel_n,331.22,7.29,0.8734,379.2305931,0.880192044,anedel_n,712,ANEDEL-N,N,2.47,43.75,17.71255061,,9.85,1.764621458,0.179149387,NA,NA,84,25.47329757,0.303253542,NA,NA,NA
anemone_lyallii_n,anemone_lyallii_n,anelya_n,249.432,5.5796,0.734,339.8256131,0.868449351,anelya_n,713,ANELYA-N,N,2.35,41.43,17.62978723,,3.9,0.994428926,0.254981776,NA,NA,105,31.3581462,0.298649011,NA,NA,NA
angelica_arguta_n,angelica_arguta_n,angarg_n,1791.218,65.4319,7.96,225.0274,0.8783468,angarg_n,714,ANGARG-N,N,4.34,42.54,9.801843318,,35.1,10.75432729,0.306391091,NA,NA,70.9,14.62456077,0.206270251,NA,NA,NA
angelica_arguta_s,angelica_arguta_s,angarg_s,627.668,25.175,4.8089,130.5221568,0.808981132,angarg_s,715,ANGARG-S,S,3.35,44.5,13.28358209,,1.5,0.230940108,0.153960072,NA,NA,196,78.48566748,0.400437079,NA,NA,NA
antennaria_suffrutescens_s,antennaria_suffrutescens_s,antsuf_s,25.577,0.825,0.3412,74.96189918,0.586424242,antsuf_s,718,ANTSUF-S,S,0.79,45.22,57.24050633,,8,0.942809042,0.11785113,NA,NA,NA,NA,NA,NA,NA,NA
anthriscus_caucalis_n,anthriscus_angustifolium_n,antang_n,228.047,6.5523,0.8705,261.9724296,0.867145888,antang_n,716,ANTANG-N,N,4.69,42.62,9.087420043,,31.2,3.860051813,0.123719609,NA,NA,NA,NA,NA,NA,NA,NA
anthriscus_caucalis_n,anthriscus_caucalis_n,antcau_n,192.619,3.9625,0.4833,398.5495551,0.878031546,antcau_n,717,ANTCAU-N,N,4.3,41.9,9.744186047,,54.8,18.12794037,0.330801832,NA,NA,NA,NA,NA,NA,NA,NA
antirrhinum_vexillo_calyculatum_n,antirrhinum_vexillo_calyculatum_n,antvex_n,14.984,0.4553,0.0826,181.4043584,0.818581155,antvex_n,719,ANTVEX-N,N,2.01,44.39,22.08457711,,29.3,12.60555433,0.430223697,NA,NA,NA,NA,NA,NA,NA,NA
antirrhinum_vexillo_calyculatum_s,antirrhinum_vexillo_calyculatum_s,antvex_s,27.084,1.0401,0.1577,171.7438174,0.848379963,antvex_s,720,ANTVEX-S,S,1.8,44.45,24.69444444,,60.7,11.3729699,0.18736359,NA,NA,119.1,42.62354592,0.357880318,NA,NA,NA
aphanes_occidentalis_n,aphanes_occidentalis_n,aphocc_n,1.048,0.0112,0.0034,308.2352941,0.696428571,aphocc_n,721,AEHOCC-N,N,1.6,41.2,25.75,aphocc_n missing from CN list,3.7,0.823272602,0.222506109,NA,NA,NA,NA,NA,NA,NA,NA
aphanes_occidentalis_s,aphanes_occidentalis_s,aphocc_s,2.87,0.0252,0.0057,503.5087719,0.773809524,aphocc_s,722,APHOCC-S,S,0.88,41.15,46.76136364,,5.7,1.653279569,0.290049047,NA,NA,NA,NA,NA,NA,NA,NA
apiastrum_angustifolium_n,apiastrum_angustifolium_n,apiang_n,6.799,0.0688,0.0152,447.3026316,0.779069767,apiang_n,723,APIANG-N,N,0.76,44.11,58.03947368,,17.4,2.875181154,0.165240296,NA,NA,NA,NA,NA,NA,NA,NA
apocynum_androsaemifolium_n,apocynum_androsaemifolium_n,apoand_n,73.846,1.2883,0.3804,194.1272345,0.70472716,apoand_n,725,APOAND-N,N,3.18,45.65,14.35534591,,10.2,3.852848874,0.377730282,NA,NA,106,35.57464765,0.335609884,NA,NA,NA
aquilegia_formosa_n,aquilegia_formosa_n,aqufor_n,82.645,0.9417,0.2009,411.3738178,0.786662419,aqufor_n,726,AGUFOR-N,N,2.94,41.64,14.16326531,aqufor_n missing from CN list,69.7,25.57798533,0.36697253,NA,NA,67.8,20.18690445,0.297741953,NA,NA,NA
arabis_aculeolata_s,arabis_aculeolata_s,araacu_s,20.418,0.77,0.1318,154.9165402,0.828831169,araacu_s,727,ARAACU-S,S,1.66,40.39,24.3313253,,18.85,3.621310383,0.192111957,NA,NA,405,146.3063756,0.36125031,NA,NA,NA
aralia_californica_n,aralia_californica_n,aracal_n,22560.5937,620.1,95.3,236.7323578,0.84631511,aracal_n,946,ARACAL-N,N,2.75,42.09,15.30545455,,193.8,48.94395888,0.252548807,NA,NA,93,32.3350515,0.347688726,NA,NA,NA
arbutus_menziesii_n,arbutus_menziesii_n,arbmen_n,464.227,15.1875,6.7274,69.00541071,0.557043621,arbmen_n,150,ARBMEN-N,N,1.22,46.7,38.27868852,,212,105.3881714,0.497114016,NA,NA,287.6,75.50746836,0.262543353,0.527375817,0.033089827,0.0627443
arbutus_menziesii_s,arbutus_menziesii_s,arbmen_s,392.651,12.7955,4.5026,87.20539244,0.648110664,arbmen_s,728,ARBMEN-S,S,1.22,48.83,40.02459016,,790,202.4845673,0.256309579,NA,NA,251,55.41760651,0.220787277,0.535420636,0.108229779,0.202139723
arctostaphylos_bakeri_ssp_bakeri_s,arctostaphylos_bakeri_ssp_bakeri_s,arcbakb_s,28.287,1.4723,0.7399,38.23084201,0.497452965,arcbakb_s,730,ARCBAKB-S,S,0.96,52.01,54.17708333,,113,58.31904587,0.516097751,NA,NA,373.8,45.14125977,0.120763135,0.673235,0.164250499,0.243972014
arctostaphylos_bakeri_ssp_sublaevis_s,arctostaphylos_bakeri_ssp_sublaevis_s,arcbak_s,32.988,1.689,0.8264,39.91771539,0.5107164,arcbak_s,729,ARCBAK-S,S,0.69,48.85,70.79710145,,142.5,29.08321394,0.204092729,NA,NA,463,35.52776692,0.076733838,0.645964642,0.076729544,0.118782885
arctostaphylos_canescens_ssp_canescens_n,arctostaphylos_canescens_ssp_canescens_n,arccanc_n,67.227,3.3145,1.6347,41.12497706,0.506803439,arccanc_n,731,ARCCANC-N,N,0.9,50.11,55.67777778,,167,45.7165178,0.273751604,NA,NA,365,78.13805446,0.214076862,0.628600893,0.295659142,0.470344769
