NewID	tjm1ID	family	mrt	Exotic/Native	RnA	RnA.original	RnA.source	RnA.notes	genus	Column 2
7462	7463	Poaceae	Aegilops_ovata	Exotic					Aegilops	Poales
7463	7464	Poaceae	Aegilops_triuncialis	Exotic					Aegilops	Poales
2708	2707	Crassulaceae	Aeonium_arboreum_arboreum	Exotic					Aeonium	Saxifragales
2709	2708	Crassulaceae	Aeonium_haworthii	Exotic					Aeonium	Saxifragales
3052	3053	Fabaceae	Aeschynomene_rudis	Exotic					Aeschynomene	Fabales
3779	3779	Hippocastanaceae	Aesculus_californica	Native	MaT	MaT	T5.gen		Aesculus	Sapindales
8002	NA	Hippocastanaceae	Aesculus_parryi	Native	MaT	MaT	T5.gen		Aesculus	Sapindales
3992	3992	Lamiaceae	Agastache_parvifolia	Native	NTm	NTm	T4.fam		Agastache	Lamiales
3993	3993	Lamiaceae	Agastache_urticifolia	Native	NTm	NTm	T4.fam		Agastache	Lamiales
7105	7106	Liliaceae	Agave_deserti	Native	WTD	WTD	T8.gen		Agave	Asparagales
7106	7107	Liliaceae	Agave_shawii	Native	WTD	WTD	T8.gen		Agave	Asparagales
7107	7108	Liliaceae	Agave_utahensis	Native	WTD	WTD	T8.gen		Agave	Asparagales
464	464	Asteraceae	Ageratina_adenophora	Exotic	CFP	CFP	T6.gen		Ageratina	Asterales
465	465	Asteraceae	Ageratina_herbacea	Native	CFP	CFP	T6.gen		Ageratina	Asterales
466	466	Asteraceae	Ageratina_occidentalis	Native	CFP	CFP	T6.gen		Ageratina	Asterales
467	467	Asteraceae	Ageratina_shastensis	Native	CFP	CFP	T6.gen		Ageratina	Asterales
468	468	Asteraceae	Agoseris_apargioides	Native	NTm	NTm	T4.fam		Agoseris	Asterales
469	469	Asteraceae	Agoseris_apargioides_apargioides	Native	NTm	NTm	T4.fam		Agoseris	Asterales
470	470	Asteraceae	Agoseris_apargioides_eastwoodiae	Native	NTm	NTm	T4.fam		Agoseris	Asterales
471	471	Asteraceae	Agoseris_aurantiaca	Native	NTm	NTm	T4.fam		Agoseris	Asterales
472	472	Asteraceae	Agoseris_elata	Native	NTm	NTm	T4.fam		Agoseris	Asterales
473	473	Asteraceae	Agoseris_glauca	Native	NTm	NTm	T4.fam		Agoseris	Asterales
474	474	Asteraceae	Agoseris_glauca_glauca	Native	NTm	NTm	T4.fam		Agoseris	Asterales
475	475	Asteraceae	Agoseris_glauca_laciniata	Native	NTm	NTm	T4.fam		Agoseris	Asterales
476	476	Asteraceae	Agoseris_glauca_monticola	Native	NTm	NTm	T4.fam		Agoseris	Asterales
8233	NA	Asteraceae	Agoseris_glauca_parviflora	Native	NTm	NTm	T4.fam		Agoseris	Asterales
477	477	Asteraceae	Agoseris_grandiflora	Native	NTm	NTm	T4.fam		Agoseris	Asterales
478	478	Asteraceae	Agoseris_heterophylla	Native	NTm	NTm	T4.fam		Agoseris	Asterales
479	479	Asteraceae	Agoseris_retrorsa	Native	NTm	NTm	T4.fam		Agoseris	Asterales
5681	5681	Rosaceae	Agrimonia_gryposepala	Native	NTm	NTm	T4.fam		Agrimonia	Rosales
7464	7465	Poaceae	Agropyron_desertorum	Exotic	NTm	NTm	T4.fam		Agropyron	Poales
2398	2397	Caryophyllaceae	Agrostemma_githago	Exotic	NTm	NTm	T4.fam		Agrostemma	Caryophyllales
7465	7466	Poaceae	Agrostis_avenacea	Exotic	NTm	NTm	T4.fam		Agrostis	Poales
7466	7467	Poaceae	Agrostis_blasdalei	Native	NTm	NTm	T4.fam		Agrostis	Poales
7467	7468	Poaceae	Agrostis_capillaris	Exotic	NTm	NTm	T4.fam		Agrostis	Poales
8234	NA	Poaceae	Agrostis_cappilaris	Native	NTm	NTm	T4.fam		Agrostis	Poales
7468	7469	Poaceae	Agrostis_densiflora	Native	NTm	NTm	T4.fam		Agrostis	Poales
7469	7470	Poaceae	Agrostis_elliottiana	Native	NTm	NTm	T4.fam		Agrostis	Poales
7470	7471	Poaceae	Agrostis_exarata	Native	NTm	NTm	T4.fam		Agrostis	Poales
7471	7472	Poaceae	Agrostis_gigantea	Exotic	NTm	NTm	T4.fam		Agrostis	Poales
7472	7473	Poaceae	Agrostis_hallii	Native	NTm	NTm	T4.fam		Agrostis	Poales
7473	7474	Poaceae	Agrostis_hendersonii	Native	NTm	NTm	T4.fam		Agrostis	Poales
7474	7475	Poaceae	Agrostis_hooveri	Native	NTm	NTm	T4.fam		Agrostis	Poales
7475	7476	Poaceae	Agrostis_humilis	Native	NTm	NTm	T4.fam		Agrostis	Poales
7476	7477	Poaceae	Agrostis_idahoensis	Native	NTm	NTm	T4.fam		Agrostis	Poales
7477	7478	Poaceae	Agrostis_microphylla	Native	NTm	NTm	T4.fam		Agrostis	Poales
7478	7479	Poaceae	Agrostis_oregonensis	Native	NTm	NTm	T4.fam		Agrostis	Poales
7479	7480	Poaceae	Agrostis_pallens	Native	NTm	NTm	T4.fam		Agrostis	Poales
7480	7481	Poaceae	Agrostis_scabra	Native	NTm	NTm	T4.fam		Agrostis	Poales
7481	7486	Poaceae	Agrostis_semiverticillata	Exotic	NTm	NTm	T4.fam		Agrostis	Poales
7482	7482	Poaceae	Agrostis_stolonifera	Exotic	NTm	NTm	T4.fam		Agrostis	Poales
7483	7483	Poaceae	Agrostis_tandilensis	Exotic	NTm	NTm	T4.fam		Agrostis	Poales
7484	7484	Poaceae	Agrostis_thurberiana	Native	NTm	NTm	T4.fam		Agrostis	Poales
7485	7485	Poaceae	Agrostis_variabilis	Native	NTm	NTm	T4.fam		Agrostis	Poales
6505	6506	Simaroubaceae	Ailanthus_altissima	Exotic					Ailanthus	Sapindales
7486	7487	Poaceae	Aira_caryophyllea	Exotic					Aira	Poales
7487	7488	Poaceae	Aira_elegantissima	Exotic					Aira	Poales
7488	7489	Poaceae	Aira_praecox	Exotic					Aira	Poales
3053	3054	Fabaceae	Albizia_lophantha	Exotic					Albizia	Fabales
4236	4236	Malvaceae	Alcea_rosea	Exotic					Alcea	Malvales
3054	3055	Fabaceae	Alhagi_pseudalhagi	Exotic					Alhagi	Fabales
6705	6706	Alismataceae	Alisma_gramineum	Native	Cos	Cos	T9		Alisma	Alismatales
6706	6707	Alismataceae	Alisma_lanceolatum	Exotic	Cos	Cos	T9		Alisma	Alismatales
6707	6708	Alismataceae	Alisma_plantago-aquatica	Native	Cos	Cos	T9		Alisma	Alismatales
2539	2538	Chenopodiaceae	Allenrolfea_occidentalis	Native	WTD	WTD	T8.gen		Allenrolfea	Caryophyllales
4360	4360	Nyctaginaceae	Allionia_incarnata	Native					Allionia	Caryophyllales
7108	7110	Liliaceae	Allium_abramsii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7109	7111	Liliaceae	Allium_acuminatum	Native	NTm	NTm	T4.gen		Allium	Asparagales
