Location,OBS,PlotID,Quad (if applicable),Date1,Date2,num_burn,Elevation_m,Belt_info,Transect direction,Aspect_degree,Slope %,cool/warm_slope,fire_preLNU_name,fire_preLNU_year,currentFRI,medianRefFRI,meanPFRID,meanCC_FRI,PFR,2022 notes,2021 notes
Bobcat,"HS, AG",BOB018,Q2,4/27/2021,3/17/2022,3,,,,110,53,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB018,Q3,4/27/2021,3/17/2022,3,,,,140,62,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB018,Q4,4/27/2021,3/17/2022,3,,,,125,60,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB018,Q5,4/27/2021,3/17/2022,3,,,,168,84,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, AG",BOB018,,4/27/2021,3/17/2022,3,400,right downhill,125,135,62,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,HS,BOB019,Q1,5/9/2021,3/25/2022,5,,,,34,40,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB019,Q2,5/9/2021,3/25/2022,5,,,,32,45,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB019,Q3,5/9/2021,3/25/2022,5,,,,38,47,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB019,Q4,5/9/2021,3/25/2022,5,,,,45,55,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB019,Q5,5/9/2021,3/25/2022,5,,,,36,84,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB019,,5/9/2021,3/25/2022,5,270,downhill side,22,37,54,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC001,Q1,4/20/2021,4/13/2022,1,,,,20,58,cool,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC001,Q2,4/20/2021,4/13/2022,1,,,,30,53,cool,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC001,Q3,4/20/2021,4/13/2022,1,,,,50,53,cool,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC001,Q4,4/20/2021,4/13/2022,1,,,,54,42,cool,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC001,Q5,4/20/2021,4/13/2022,1,,,,45,45,cool,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC001,,4/20/2021,4/13/2022,1,331,right downhill,25,40,50,cool,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC002,Q1,4/29/2021,4/8/2022,1,,,,350,27,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC002,Q2,4/29/2021,4/8/2022,1,,,,345,55,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC002,Q3,4/29/2021,4/8/2022,1,,,,355,36,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC002,Q4,4/29/2021,4/8/2022,1,,,,7,45,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC002,Q5,4/29/2021,4/8/2022,1,,,,358,62,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC002,,4/29/2021,4/8/2022,1,497,right downhill,345,355,45,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC003,Q1,4/30/2021,4/13/2022,1,,,,160,18,warm,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC003,Q2,4/30/2021,4/13/2022,1,,,,170,53,warm,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC003,Q3,4/30/2021,4/13/2022,1,,,,178,49,warm,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC003,Q4,4/30/2021,4/13/2022,1,,,,200,21,warm,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC003,Q5,4/30/2021,4/13/2022,1,,,,202,53,warm,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,HS,CCC003,,4/30/2021,4/13/2022,1,425,right downhill,180,182,45,warm,NA,NA,56,13,48.67,2,oak woodland,,
CacheCreek,"HS, SV",CCC004,Q1,4/30/2021,4/8/2022,1,,,,340,53,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,"HS, SV",CCC004,Q2,4/30/2021,4/8/2022,1,,,,350,58,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,"HS, SV",CCC004,Q3,4/30/2021,4/8/2022,1,,,,352,58,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,"HS, SV",CCC004,Q4,4/30/2021,4/8/2022,1,,,,355,51,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,"HS, SV",CCC004,Q5,4/30/2021,4/8/2022,1,,,,350,53,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,"HS, SV",CCC004,,4/30/2021,4/8/2022,1,465,right downhill,,349,55,cool,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,OAK DOMINATED,
CacheCreek,HS,CCC005,Q1,4/29/2021,4/8/2022,1,,,,255,62,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC005,Q2,4/29/2021,4/8/2022,1,,,,252,53,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC005,Q3,4/29/2021,4/8/2022,1,,,,254,58,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC005,Q4,4/29/2021,4/8/2022,1,,,,250,58,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC005,Q5,4/29/2021,4/8/2022,1,,,,227,73,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC005,,4/29/2021,4/8/2022,1,497,right downhill,260,247,61,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC006,Q1,4/29/2021,4/8/2022,1,,,,225,38,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC006,Q2,4/29/2021,4/8/2022,1,,,,202,60,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC006,Q3,4/29/2021,4/8/2022,1,,,,212,55,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC006,Q4,4/29/2021,4/8/2022,1,,,,210,49,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC006,Q5,4/29/2021,4/8/2022,1,,,,210,40,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,
CacheCreek,HS,CCC006,,4/29/2021,4/8/2022,1,529,right downhill,244,212,48,warm,NA,NA,56,59,2.65,1,chaparral and serotinous conifer,,"hard to estimate dead shrub height, burned very hot"
CacheCreek,HS,CCC007,Q1,5/2/2021,4/12/2022,7,,,,105,26,warm,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC007,Q2,5/2/2021,4/12/2022,7,,,,110,34,warm,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC007,Q3,5/2/2021,4/12/2022,7,,,,108,35,warm,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC007,Q4,5/2/2021,4/12/2022,7,,,,108,38,warm,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC007,Q5,5/2/2021,4/12/2022,7,,,,108,38,warm,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC007,,5/2/2021,4/12/2022,7,423,right downhill,119,107,34,warm,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC008,Q1,5/2/2021,4/12/2022,7,,,,114,32,warm,sixteen_complex,2012,13,12,4.42,1,oak woodland,,
CacheCreek,HS,CCC008,Q2,5/2/2021,4/12/2022,7,,,,105,30,warm,sixteen_complex,2012,13,12,4.42,1,oak woodland,,
CacheCreek,HS,CCC008,Q3,5/2/2021,4/12/2022,7,,,,100,28,warm,sixteen_complex,2012,13,12,4.42,1,oak woodland,,
CacheCreek,HS,CCC008,Q4,5/2/2021,4/12/2022,7,,,,120,25,warm,sixteen_complex,2012,13,12,4.42,1,oak woodland,,
CacheCreek,HS,CCC008,Q5,5/2/2021,4/12/2022,7,,,,102,23,warm,sixteen_complex,2012,13,12,4.42,1,oak woodland,,
CacheCreek,HS,CCC008,,5/2/2021,4/12/2022,7,425,left downhill,185,105,26,warm,sixteen_complex,2012,13,12,4.42,1,oak woodland,,
CacheCreek,HS,CCC009,Q1,5/2/2021,4/12/2022,7,,,,112,25,warm,sixteen_complex,2012,11,12,-5.83,-1,oak woodland,,
CacheCreek,HS,CCC009,Q2,5/2/2021,4/12/2022,7,,,,110,30,warm,sixteen_complex,2012,11,12,-5.83,-1,oak woodland,,
CacheCreek,HS,CCC009,Q3,5/2/2021,4/12/2022,7,,,,122,36,warm,sixteen_complex,2012,11,12,-5.83,-1,oak woodland,,
CacheCreek,HS,CCC009,Q4,5/2/2021,4/12/2022,7,,,,102,32,warm,sixteen_complex,2012,11,12,-5.83,-1,oak woodland,,
CacheCreek,HS,CCC009,Q5,5/2/2021,4/12/2022,7,,,,102,42,warm,sixteen_complex,2012,11,12,-5.83,-1,oak woodland,,
CacheCreek,HS,CCC009,,5/2/2021,4/12/2022,7,442,right downhill,115,110,33,warm,sixteen_complex,2012,11,12,-5.83,-1,oak woodland,,
CacheCreek,HS,CCC010,Q1,5/8/2021,4/12/2022,7,,,,20,58,cool,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC010,Q2,5/8/2021,4/12/2022,7,,,,32,36,cool,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC010,Q3,5/8/2021,4/12/2022,7,,,,35,45,cool,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
CacheCreek,HS,CCC010,Q4,5/8/2021,4/12/2022,7,,,,40,73,cool,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,,
